"created_at","pk2","score","sk","sk2","quantile","pk","type"
"2022-03-09T21:34:41","#score#A#admin@stryde.com",9.178709030151367,"M#Loyal  Stricklin#1646676422208#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:30","#score#A#admin@stryde.com",28.166940689086914,"M#Loyal  Stricklin#1646676430033#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:41","#score#A#admin@stryde.com",9.374757766723633,"M#Loyal  Stricklin#1646676431283#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:51","#score#A#admin@stryde.com",11.704800605773926,"M#Loyal  Stricklin#1646676433088#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:46","#score#A#admin@stryde.com",5.327215671539307,"M#Loyal  Stricklin#1646676433814#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:43","#score#A#admin@stryde.com",11.59919261932373,"M#Loyal  Stricklin#1646676434302#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:58","#score#A#admin@stryde.com",9.671274185180664,"M#Loyal  Stricklin#1646676434307#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:55","#score#A#admin@stryde.com",22.409875869750977,"M#Loyal  Stricklin#1646676435528#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:44","#score#A#admin@stryde.com",16.981103897094727,"M#Loyal  Stricklin#1646676438649#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:35:03","#score#A#admin@stryde.com",22.60219383239746,"M#Loyal  Stricklin#1646676438874#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:33","#score#A#admin@stryde.com",15.583022117614746,"M#Loyal  Stricklin#1646676439810#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:58","#score#A#admin@stryde.com",22.06283187866211,"M#Loyal  Stricklin#1646676440077#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:32","#score#A#admin@stryde.com",11.333311080932617,"M#Loyal  Stricklin#1646676441771#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:32","#score#A#admin@stryde.com",3.6777260303497314,"M#Loyal  Stricklin#1646676442807#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:24","#score#A#admin@stryde.com",4.5453925132751465,"M#Loyal  Stricklin#1646676442830#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:38","#score#A#admin@stryde.com",-23.591684341430664,"M#Loyal  Stricklin#1646676444757#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:49","#score#A#admin@stryde.com",12.831759452819824,"M#Loyal  Stricklin#1646676445150#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:31","#score#A#admin@stryde.com",15.27257251739502,"M#Loyal  Stricklin#1646676446364#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:27","#score#A#admin@stryde.com",20.43234634399414,"M#Loyal  Stricklin#1646676448187#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:37","#score#A#admin@stryde.com",15.050736427307129,"M#Loyal  Stricklin#1646676449466#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:35","#score#A#admin@stryde.com",26.52871322631836,"M#Loyal  Stricklin#1646676449584#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:35:06","#score#A#admin@stryde.com",7.620487689971924,"M#Loyal  Stricklin#1646676456696#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:55","#score#A#admin@stryde.com",24.652257919311523,"M#Loyal  Stricklin#1646676456741#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:52","#score#A#admin@stryde.com",20.33474349975586,"M#Loyal  Stricklin#1646676458048#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:42","#score#A#admin@stryde.com",20.535058975219727,"M#Loyal  Stricklin#1646676459312#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:40","#score#A#admin@stryde.com",13.572893142700195,"M#Loyal  Stricklin#1646676460162#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
"2022-03-09T21:34:52","#score#A#admin@stryde.com",18.716629028320312,"M#Loyal  Stricklin#1646676461664#Loyal  Stricklin","M#Loyal  Stricklin","RED","#score#A#admin@stryde.com","score"
